carrier_name,vehicle_segment,g/tm CO2,ef_kg_co2e_per_tkm
AMPLIFY LOGISTICS GROUP USA INC,For-Hire,110.12049999999999,0.075426375752
015-000-005: Lazer Spot Inc,Dedicated,76.25,0.052226980000000006
1-Bridge Logistics Corp,For-Hire,101.06,0.06922044064
10-65 Logistics LLC,For-Hire,164.5,0.11267328800000001
1137254 Ontario Ltd,For-Hire,84.724,0.05803119545600001
1175648 Ontario Ltd.,For-Hire,67.91,0.04651454704
11959581 Canada Inc,For-Hire,84.724,0.05803119545600001
1262380 Ontario Limited / DBA as FF Express,For-hire,446.0,0.305485024
1351515 ONTARIO INC dba HANS TRANSPORT,For-Hire,93.45,0.06400801680000001
1387431 ONTARIO INC O/A SUN TRANSPORTATION SYSTEM,For-Hire,90.9,0.06226140960000001
1455492 Ontario Inc DBA RS Carrier,For-Hire,75.5,0.051713272000000005
1507465 ONTARIO INC  dba Right Track Trucking,For-hire,93.45,0.06400801680000001
1527530 Ontario Inc,For-Hire,93.45,0.06400801680000001
1541335 Ontario Inc./Road Link Xpress,For-Hire,78.929,0.054061944976000004
1557650 Ontario Inc.,For-hire,60.42,0.04138431648
1559514 ONTARIO LTD dba AIKAM LOGISTICS,For-hire,93.45,0.06400801680000001
1567444 ONTARIO LIMITED,For-Hire,67.91,0.04651454704
1579901 Ontario Inc.: ASL Global Logistics,For-Hire,76.25,0.052226980000000006
1583079 Ontario Inc DBA Transport,For-hire,72.91,0.04993926704
1616270 Ontario Inc./dba DM Transport: 001,For-Hire,76.25,0.052226980000000006
1628939 Ontario Ltd. o/a P&D Freightlines: 001,For-Hire,78.929,0.054061944976000004
1752720 Alberta Inc.,For-Hire,93.45,0.06400801680000001
1776 LOGISTICS LLC,For-hire,102.4,0.07013826560000001
1803073 Alberta Ltd O/A Transjet Carriers,For-hire,91.155,0.06243607032
1st Choice Freight LLC,For-Hire,110.12049999999999,0.075426375752
1st Choice Logistics,For-Hire,164.5,0.11267328800000001
1st Destined Transportation Inc,For-hire,92.6,0.0634258144
1st Express Inc.,For-Hire,78.929,0.054061944976000004
2008543 Alberta Limited DBA Diamond M Logistics,For-Hire,91.155,0.06243607032
2039322 ONTARIO INC dba NORTHLINE FLATBED SERVICES,For-hire,84.25,0.057706532000000005
2040779 Ontario Inc. aka Dulai Trucklines,For-hire,84.724,0.05803119545600001
208 Freight LLC,For-hire,91.155,0.06243607032
2083684 Ontario Inc dba Nationwide Logistics,For-Hire,78.929,0.054061944976000004
2098763 Alberta Ltd dba Armour Trucking,For-hire,84.724,0.05803119545600001
2125546 ONTARIO INC,For-Hire,93.45,0.06400801680000001
2148602 alberta ltd,For-hire,72.91,0.04993926704
2173659 Ontario Inc. O/A Forever Carrier,Dedicated,76.25,0.052226980000000006
2210310 Ontario Inc./Dynamic Freight Haulers,For-Hire,84.724,0.05803119545600001
2235403 ONTARIO INC DBA LEVEL LOAD FREIGHT,For-Hire,84.724,0.05803119545600001
2307650 Ontario Ltd DBA Ry Express Transpotation and Logisitics,For-hire,92.6,0.0634258144
2309136 Ontario Inc. DBA INDO CANADIAN CARRIERS: 1,For-Hire,75.5,0.051713272000000005
2322819 Ontario Inc.,For-Hire,91.155,0.06243607032
2326236 Ontario Inc. O/A Eagle Freight System,For-Hire,67.91,0.04651454704
2333758 Ontario Inc DBA Trans Unite,For-hire,76.25,0.052226980000000006
2347479 ONTARIO INC,Dedicated,102.4,0.07013826560000001
2385720 Ontario Inc.,For-hire,72.91,0.04993926704
"24/7 Enterprises, LLC",Dedicated,105.21,0.07206295824
"24/7 Express Logistics, Inc.",For-Hire,91.155,0.06243607032
2405382 ONTARIO INC,For-hire,72.91,0.04993926704
2449285 Ontario inc DBA Travel Transport,For-Hire,93.45,0.06400801680000001
2454934 ONTARIO INC dba Olympic Roadside,For-hire,84.724,0.05803119545600001
"24:7 Expedite, Inc.",For-hire,105.21,0.07206295824
2504967 Ontario Ltd o/a Abrams Auto Transport,For-Hire,113.5,0.07774114400000001
2505749 Ontario Inc,For-hire,93.0,0.063699792
2597292 Ontario Inc dba Fastlink Freight System,For-hire,84.724,0.05803119545600001
2613418 ONTARIO INC dba WOLF PACK LOGISTICS,For-hire,93.45,0.06400801680000001
2705492 ONTARIO INC O/A Transjet Logistics,For-hire,91.155,0.06243607032
3 Bees Transportation LLC,For-hire,76.25,0.052226980000000006
"3 Lions Logistics, Inc.",For-Hire,88.2,0.06041206080000001
"3 Rivers Logistics, Inc",For-Hire,116.71600000000001,0.07994392390400001
3 Sisters Logistics LLC,For-Hire,72.05,0.0493502152
3M Logistics LLC DBA 3M Logistics,For-hire,84.724,0.05803119545600001
3PL Links Inc,For-Hire,110.12049999999999,0.075426375752
"4 Gen Logistics, LLC",For-Hire,104.5,0.071576648
48forty Solutions LLC,Private,102.4,0.07013826560000001
4D Trucking & Logistics,For-Hire,83.5,0.057192824
"4G Logistics, LLC",For-Hire,110.12049999999999,0.075426375752
"4WRD Freight & Logistics Group, Inc.",Private,101.06,0.06922044064
"5/D Express, Inc",For-Hire,102.4,0.07013826560000001
623317 CANADA INC O/A ROCKWELL TRUCK LINE : 175142780,For-Hire,72.91,0.04993926704
6501604 Manitoba ltd.,Dedicated,93.45,0.06400801680000001
6587194 Canada Inc DBA PFL Canada,For-hire,76.25,0.052226980000000006
7 Star Brokerage,For-Hire,90.9,0.06226140960000001
7 Star Trucking,For-Hire,93.45,0.06400801680000001
7013990 Canada Inc. O/A Trans 99 Logistics,For-Hire,76.25,0.052226980000000006
7347848 MANITOBA LTD.,For-hire,76.25,0.052226980000000006
7875215 Canada Inc. DBA Load Track Transportation,For-hire,72.91,0.04993926704
9419861 CANADA INC,For-hire,60.42,0.04138431648
9906339 Canada Inc dba Kshatriya Trans,For-hire,72.91,0.04993926704
A & C Transport LLC: A & C Transport,For-Hire,113.511,0.077748678384
"A & H Cartage, Inc.",For-Hire,210.5,0.14418071200000002
A&I Express Inc.: 01002134,For-Hire,88.2,0.06041206080000001
A&I Transport  Inc.,For-Hire,95.575,0.0654635228
"A&M Logistics Solutions, Inc. DBA DK Express",For-hire,83.5,0.057192824
"A&M Transport, LLC: Dry Van Fleet",For-Hire,72.91,0.04993926704
"A&M Transport, LLC: Flatbed Fleet",For-Hire,76.45,0.05236396880000001
"A&M Transport, LLC: Tautliner Fleet",For-Hire,71.0,0.048631024
"A&S Services Group, LLC",For-Hire,78.929,0.054061944976000004
A&Z Trucking,For-Hire,113.511,0.077748678384
A-1 FREIGHT SYSTEMS LLC,For-Hire,113.511,0.077748678384
"A. Duie Pyle, Inc.: Dedicated",Dedicated,60.42,0.04138431648
"A. Duie Pyle, Inc.: LTL",For-Hire,210.5,0.14418071200000002
"A. L. Smith Trucking, Inc.",For-Hire,88.2,0.06041206080000001
A.B.P. TRANSPORTATION SERVICES INCORPORATED,For-hire,78.929,0.054061944976000004
"A.C. Trucking, Inc.",For-Hire,72.91,0.04993926704
"A.D. Transport Express, Inc.",For-Hire,78.929,0.054061944976000004
"A.I.M. Logistics, Inc.",For-hire,102.4,0.07013826560000001
A.J. Baynes Freight Contractors LTD.: A.J. Baynes Freight Contractors LTD.,For-Hire,101.06,0.06922044064
"A.M. Transport Services, Inc.: A.M. Transport Services, Inc.",For-Hire,106.8155,0.073162635832
A.M.A.N. Logistics Ltd.,For-Hire,88.2,0.06041206080000001
"A.N. Webber, Inc.: WANQ",For-Hire,78.929,0.054061944976000004
"A.S.L. Trans Pro, Inc.",For-Hire,76.25,0.052226980000000006
A1 Transportation Services LLC,For-hire,84.25,0.057706532000000005
"A2B Cargo Logistics, Inc",For-Hire,110.12049999999999,0.075426375752
"A2B Cargo, Inc.",For-hire,72.91,0.04993926704
AA Temperature Controlled LLC,For-Hire,75.5,0.051713272000000005
AAA Cooper Transportation,For-Hire,93.0,0.063699792
AAA Logistics Transportation Inc.,For-hire,102.4,0.07013826560000001
ABCO Transportation Inc.: ABTS,For-Hire,88.2,0.06041206080000001
ABE Freight Haulers,For-hire,403.0,0.276032432
"ABEX Transportation, LLC",For-Hire,78.929,0.054061944976000004
"ABF Freight, an ArcBest company",For-Hire,116.71600000000001,0.07994392390400001
"ABF Freight, an ArcBest company",For-Hire,134.05,0.09181674320000001
ABL X-Press Ltd.,For-Hire,102.4,0.07013826560000001
ABT Trucking Inc.,For-hire,103.45,0.07085745680000001
AC Transport,For-Hire,84.724,0.05803119545600001
"ACE Forwarding, Inc.",For-Hire,105.21,0.07206295824
ACE Heavy Haul LLC,For-hire,92.6,0.0634258144
"ACE Logistics, Inc.: MC411479",For-Hire,164.5,0.11267328800000001
ACES LOGISTICS INC,For-hire,84.724,0.05803119545600001
"ACI Motor Freight, Inc.",For-Hire,110.55,0.07572055920000001
ACME LOGISTICS INC.,Private,72.91,0.04993926704
AD LUCKY TRANS LTD,For-hire,93.45,0.06400801680000001
"ADM Logistics, Inc.",For-Hire,106.8155,0.073162635832
"ADM Trucking, Inc.",Private,67.91,0.04651454704
ADMV LOGISTICS INC,For-hire,82.1,0.0562339024
ADP Express LLC: main,For-Hire,90.0,0.061644960000000006
ADUSA Transportation LLC,For-Hire,91.155,0.06243607032
AFF Trans LLC,Dedicated,72.91,0.04993926704
"AG Energy Transport, LLC",For-hire,64.15,0.04393915760000001
"AG Logistics, LLC",For-hire,120.0,0.08219328000000001
AGI Transport Inc.,For-Hire,78.929,0.054061944976000004
AGK Logistics Inc,For-Hire,102.4,0.07013826560000001
AGM TRANSPORT INC: Truckload Division,For-Hire,84.724,0.05803119545600001
AGT Global Logistics,For-Hire,164.5,0.11267328800000001
"AGX Freight Carriers, LLC",For-Hire,78.929,0.054061944976000004
AGX Freight Intermodal LLC,For-Hire,83.5,0.057192824
AGX Freight Logistics LLC,For-Hire,140.57,0.09628257808
AI Logistics Group LLC,For-Hire,116.71600000000001,0.07994392390400001
"AI Transport, Inc.",For-hire,102.4,0.07013826560000001
AIRROAD XPRESS INC,For-hire,93.45,0.06400801680000001
AIS,For-Hire,90.0,0.061644960000000006
"AIT Truckload Solutions, Inc.",For-Hire,113.511,0.077748678384
"AIT Worldwide Logistics, Inc.: 30120212",For-Hire,164.5,0.11267328800000001
AJ & J Deliveries LLC,Dedicated,282.5,0.19349668
AJ GILL TRANSPORT LTD,For-hire,92.6,0.0634258144
"AJC Logistics, LLC: AJC Freight Solutions",For-Hire,113.511,0.077748678384
AJM Logistics Inc,For-Hire,76.25,0.052226980000000006
ALB Express Inc.,For-hire,102.4,0.07013826560000001
"ALG Worldwide Logistics, LLC: ALG Worldwide - ALG Direct Division",For-Hire,164.5,0.11267328800000001
ALIEN TRANSPORT LLC,For-hire,95.575,0.0654635228
ALL CHEMICAL TRANSPORT,For-Hire,60.42,0.04138431648
ALLMINE GROUP LLC,For-hire,93.45,0.06400801680000001
ALLPRO LOGISTICS LLC,For-Hire,95.575,0.0654635228
ALLSTATE FREIGHT SYSTEMS INC: 001,For-Hire,82.1,0.0562339024
ALPHA DRIVERS TRANSPORTATION LLC,For-hire,102.4,0.07013826560000001
ALPHA GROUP CORP,For-Hire,67.91,0.04651454704
ALTA ROSE FREIGHTLINES LTD.,Dedicated,60.42,0.04138431648
ALTL Inc.,For-Hire,78.929,0.054061944976000004
AM Trans Expedite,For-hire,84.724,0.05803119545600001
